route,language,page_family,efr_score,locale_percentile,family_percentile,measured_weight,unmeasured_dimensions,status,word_count,dim_formulaicPhraseDensity,dim_formulaicSyntax,dim_genericIntroductions,dim_promotionalVagueness,dim_specificityDeficit,dim_crossPageSameness,dim_structuralTemplate,dim_punctuationFingerprint,dim_rhythmRepetition,forbidden_count,discouraged_count,density_limited_count,search_protected_count,emdash_count,negative_parallelism,triads,rhetorical_questions,distinct_specific_facts,sentences,closest_page,closest_jaccard,structure_shared_with,top_recurring_patterns,ranking_sensitivity,sensitivity_evidence,likely_upstream_source,recommended_action,confidence
/library/preppy-emoji-combos/,en,library,10.5,49,40.8,100,,scored,281,0,2.06,0,0,0,0,4.44,1.99,2.06,6,0,0,7,6,0,7,0,3,10,,,75,EFR-F-001x6,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
/library/pride-lgbtq-symbols/,en,library,3.2,10.7,6.8,100,,scored,412,0,0,0,0,0,0,1.42,0,1.79,6,0,0,12,6,0,5,0,2,14,,,24,EFR-F-001x6,unknown,no performance overlay supplied,template shared with 24 same-locale library pages,no action,medium
/library/pubg-symbols/,en,library,10.1,48.2,39.6,100,,scored,1027,1.95,2.74,2.67,0,0,0,0,1.68,1.07,21,1,0,40,21,0,3,2,11,35,,,0,EFR-F-001x21 EFR-D-004x1,unknown,no performance overlay supplied,,no action,medium
/library/punctuation-symbols/,en,library,6.4,32.7,22.8,100,,scored,487,0,3.43,0,0,0,0,0,2.05,0.89,0,0,0,31,0,0,9,1,3,14,,,0,,unknown,no performance overlay supplied,,no action,medium
/library/qatar-emoji-combos/,en,library,17.4,76.4,65.1,95,rhythmRepetition,scored,200,0,0,0,0,9.16,0,7.34,0,n/a,3,0,0,5,3,0,2,0,0,7,,,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/rashford-emoji-combos/,en,library,25,97.4,95.6,100,,scored,195,0,0.99,0,0,9.16,5.96,7.34,0,1.59,3,0,0,5,3,0,4,0,0,8,library/son-emoji-combos/index.html,0.589,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,conservative page edit,medium
/library/recycle-environment-symbols/,en,library,19.9,86.5,76.6,100,,scored,226,0,0.3,0,0,9.16,0,7.34,0,3.13,2,0,0,8,2,0,4,0,0,8,,,124,EFR-F-001x2,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/religious-symbols/,en,library,5.2,26.2,15.4,100,,scored,407,0,0.78,0,0,0,0,0.36,2.46,1.57,6,0,0,13,6,0,8,0,2,12,,,6,EFR-F-001x6,unknown,no performance overlay supplied,,no action,medium
/library/roblox-symbols/,en,library,9.7,46.1,37.6,100,,scored,1439,1.39,3.2,2.67,0,0,0,0,1.81,0.63,30,1,0,89,30,0,17,4,9,60,,,0,EFR-F-001x30 EFR-D-004x1,unknown,no performance overlay supplied,,no action,medium
/library/roblox-text-art/,en,library,10.9,50.3,42.9,100,,scored,321,0,0,0,4.15,0,0,4.44,0.01,2.27,5,0,1,22,5,0,4,0,3,11,,,75,EFR-F-001x5 EFR-L-003x1,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
