repo_path,r2_key,public_url,size_bytes,category,status,error
assets/pinterest/library-color-emoji-combos--v3.png,pinterest/variants/library-color-emoji-combos--v3.png,https://media.ultratextgen.com/pinterest/variants/library-color-emoji-combos--v3.png,225252,variants,skipped-identical,
assets/pinterest/library-color-emoji-combos--v4.png,pinterest/variants/library-color-emoji-combos--v4.png,https://media.ultratextgen.com/pinterest/variants/library-color-emoji-combos--v4.png,213636,variants,skipped-identical,
assets/pinterest/library-color-emoji-combos--v5.png,pinterest/variants/library-color-emoji-combos--v5.png,https://media.ultratextgen.com/pinterest/variants/library-color-emoji-combos--v5.png,222040,variants,skipped-identical,
assets/pinterest/library-color-emoji-combos--v6.png,pinterest/variants/library-color-emoji-combos--v6.png,https://media.ultratextgen.com/pinterest/variants/library-color-emoji-combos--v6.png,216214,variants,skipped-identical,
assets/pinterest/library-color-emoji-combos--v7.png,pinterest/variants/library-color-emoji-combos--v7.png,https://media.ultratextgen.com/pinterest/variants/library-color-emoji-combos--v7.png,213588,variants,skipped-identical,
assets/pinterest/library-color-emoji-combos--v8.png,pinterest/variants/library-color-emoji-combos--v8.png,https://media.ultratextgen.com/pinterest/variants/library-color-emoji-combos--v8.png,215712,variants,skipped-identical,
assets/pinterest/library-color-emoji-combos.png,pinterest/base/library-color-emoji-combos.png,https://media.ultratextgen.com/pinterest/base/library-color-emoji-combos.png,211026,base,skipped-identical,
assets/pinterest/library-confused-emoji--v2.png,pinterest/variants/library-confused-emoji--v2.png,https://media.ultratextgen.com/pinterest/variants/library-confused-emoji--v2.png,207317,variants,skipped-identical,
assets/pinterest/library-confused-emoji--v3.png,pinterest/variants/library-confused-emoji--v3.png,https://media.ultratextgen.com/pinterest/variants/library-confused-emoji--v3.png,223286,variants,skipped-identical,
assets/pinterest/library-confused-emoji--v4.png,pinterest/variants/library-confused-emoji--v4.png,https://media.ultratextgen.com/pinterest/variants/library-confused-emoji--v4.png,210832,variants,skipped-identical,
assets/pinterest/library-confused-emoji--v5.png,pinterest/variants/library-confused-emoji--v5.png,https://media.ultratextgen.com/pinterest/variants/library-confused-emoji--v5.png,221202,variants,skipped-identical,
assets/pinterest/library-confused-emoji--v6.png,pinterest/variants/library-confused-emoji--v6.png,https://media.ultratextgen.com/pinterest/variants/library-confused-emoji--v6.png,213204,variants,skipped-identical,
assets/pinterest/library-confused-emoji--v7.png,pinterest/variants/library-confused-emoji--v7.png,https://media.ultratextgen.com/pinterest/variants/library-confused-emoji--v7.png,211158,variants,skipped-identical,
assets/pinterest/library-confused-emoji--v8.png,pinterest/variants/library-confused-emoji--v8.png,https://media.ultratextgen.com/pinterest/variants/library-confused-emoji--v8.png,212979,variants,skipped-identical,
assets/pinterest/library-confused-emoji.png,pinterest/base/library-confused-emoji.png,https://media.ultratextgen.com/pinterest/base/library-confused-emoji.png,215492,base,skipped-identical,
assets/pinterest/library-copyright-trademark-symbols--v2.png,pinterest/variants/library-copyright-trademark-symbols--v2.png,https://media.ultratextgen.com/pinterest/variants/library-copyright-trademark-symbols--v2.png,254593,variants,skipped-identical,
assets/pinterest/library-copyright-trademark-symbols--v3.png,pinterest/variants/library-copyright-trademark-symbols--v3.png,https://media.ultratextgen.com/pinterest/variants/library-copyright-trademark-symbols--v3.png,259270,variants,skipped-identical,
assets/pinterest/library-copyright-trademark-symbols--v4.png,pinterest/variants/library-copyright-trademark-symbols--v4.png,https://media.ultratextgen.com/pinterest/variants/library-copyright-trademark-symbols--v4.png,256235,variants,skipped-identical,
assets/pinterest/library-copyright-trademark-symbols--v5.png,pinterest/variants/library-copyright-trademark-symbols--v5.png,https://media.ultratextgen.com/pinterest/variants/library-copyright-trademark-symbols--v5.png,256091,variants,skipped-identical,
assets/pinterest/library-copyright-trademark-symbols--v6.png,pinterest/variants/library-copyright-trademark-symbols--v6.png,https://media.ultratextgen.com/pinterest/variants/library-copyright-trademark-symbols--v6.png,258868,variants,skipped-identical,
assets/pinterest/library-copyright-trademark-symbols--v7.png,pinterest/variants/library-copyright-trademark-symbols--v7.png,https://media.ultratextgen.com/pinterest/variants/library-copyright-trademark-symbols--v7.png,254661,variants,skipped-identical,
assets/pinterest/library-copyright-trademark-symbols.png,pinterest/base/library-copyright-trademark-symbols.png,https://media.ultratextgen.com/pinterest/base/library-copyright-trademark-symbols.png,252294,base,skipped-identical,
assets/pinterest/library-coquette-symbols--v2.png,pinterest/variants/library-coquette-symbols--v2.png,https://media.ultratextgen.com/pinterest/variants/library-coquette-symbols--v2.png,244129,variants,skipped-identical,
assets/pinterest/library-coquette-symbols--v3.png,pinterest/variants/library-coquette-symbols--v3.png,https://media.ultratextgen.com/pinterest/variants/library-coquette-symbols--v3.png,257367,variants,skipped-identical,
assets/pinterest/library-coquette-symbols--v4.png,pinterest/variants/library-coquette-symbols--v4.png,https://media.ultratextgen.com/pinterest/variants/library-coquette-symbols--v4.png,246338,variants,skipped-identical,
assets/pinterest/library-coquette-symbols--v5.png,pinterest/variants/library-coquette-symbols--v5.png,https://media.ultratextgen.com/pinterest/variants/library-coquette-symbols--v5.png,254090,variants,skipped-identical,
assets/pinterest/library-coquette-symbols--v6.png,pinterest/variants/library-coquette-symbols--v6.png,https://media.ultratextgen.com/pinterest/variants/library-coquette-symbols--v6.png,248175,variants,skipped-identical,
assets/pinterest/library-coquette-symbols.png,pinterest/base/library-coquette-symbols.png,https://media.ultratextgen.com/pinterest/base/library-coquette-symbols.png,244680,base,skipped-identical,
assets/pinterest/library-costa-rica-emoji-combos--v2.png,pinterest/variants/library-costa-rica-emoji-combos--v2.png,https://media.ultratextgen.com/pinterest/variants/library-costa-rica-emoji-combos--v2.png,219078,variants,skipped-identical,
assets/pinterest/library-costa-rica-emoji-combos--v3.png,pinterest/variants/library-costa-rica-emoji-combos--v3.png,https://media.ultratextgen.com/pinterest/variants/library-costa-rica-emoji-combos--v3.png,224672,variants,skipped-identical,
assets/pinterest/library-costa-rica-emoji-combos--v4.png,pinterest/variants/library-costa-rica-emoji-combos--v4.png,https://media.ultratextgen.com/pinterest/variants/library-costa-rica-emoji-combos--v4.png,220184,variants,skipped-identical,
assets/pinterest/library-costa-rica-emoji-combos--v5.png,pinterest/variants/library-costa-rica-emoji-combos--v5.png,https://media.ultratextgen.com/pinterest/variants/library-costa-rica-emoji-combos--v5.png,231348,variants,skipped-identical,
assets/pinterest/library-costa-rica-emoji-combos--v6.png,pinterest/variants/library-costa-rica-emoji-combos--v6.png,https://media.ultratextgen.com/pinterest/variants/library-costa-rica-emoji-combos--v6.png,222606,variants,skipped-identical,
assets/pinterest/library-costa-rica-emoji-combos--v7.png,pinterest/variants/library-costa-rica-emoji-combos--v7.png,https://media.ultratextgen.com/pinterest/variants/library-costa-rica-emoji-combos--v7.png,220693,variants,skipped-identical,
assets/pinterest/library-costa-rica-emoji-combos--v8.png,pinterest/variants/library-costa-rica-emoji-combos--v8.png,https://media.ultratextgen.com/pinterest/variants/library-costa-rica-emoji-combos--v8.png,222407,variants,skipped-identical,
assets/pinterest/library-costa-rica-emoji-combos.png,pinterest/base/library-costa-rica-emoji-combos.png,https://media.ultratextgen.com/pinterest/base/library-costa-rica-emoji-combos.png,218538,base,skipped-identical,
assets/pinterest/library-cottagecore-symbols--v2.png,pinterest/variants/library-cottagecore-symbols--v2.png,https://media.ultratextgen.com/pinterest/variants/library-cottagecore-symbols--v2.png,254813,variants,skipped-identical,
assets/pinterest/library-cottagecore-symbols--v3.png,pinterest/variants/library-cottagecore-symbols--v3.png,https://media.ultratextgen.com/pinterest/variants/library-cottagecore-symbols--v3.png,257543,variants,skipped-identical,
