archetype,mode,reps,svg_build_s,load_median_s,load_iqr_s,raster_median_s,raster_iqr_s,pdf_median_s,pdf_iqr_s,raster_post_median_s,layout_s,style_s,js_heap_used_mb,dom_nodes,dom_patterns,dom_images,svg_bytes,pdf_bytes
C,DITHER_M,7,7.576e-05,0.00348371,0.000582431,0.0948582,0.00585848,0.00928734,0.00192382,0,0,0,1.87688,22,0,0,3887,32316
C,HIGH_CONTRAST,7,8.4876e-05,0.00407776,0.000567737,0.0910918,0.00622002,0.00934807,0.00170977,0,0,0,2.06381,22,0,0,3887,32312
C,ECO_COLOUR,7,7.8835e-05,0.00368285,0.000567683,0.10005,0.0109457,0.00869692,0.00163445,0,0,0,1.87731,22,0,0,3887,32316
C,SUPER_ECO_BW,7,8.6259e-05,0.00391367,0.000431336,0.0963789,0.0100075,0.00847507,0.000721411,0,0,0,2.06424,22,0,0,3887,32312
C,INT_BG+TINT_FILL_55,7,9.0942e-05,0.00399718,0.000823369,0.0973852,0.0133339,0.00887208,0.0027865,0,0,0,1.87812,22,0,0,3887,32316
C,INT_REMOVE_ALL,7,8.2635e-05,0.00407794,0.000284363,0.100706,0.00645185,0.00948593,0.00259305,0,0,0,2.06504,22,0,0,3887,32316
C,INT_OUTLINE+BW,7,9.1378e-05,0.00422501,0.000870234,0.099606,0.0068941,0.00911052,0.00186266,0,0,0,1.87142,22,0,0,3887,32312
C,INT_GRAY+BG,7,0.000138975,0.00410721,0.000365689,0.105366,0.00807051,0.00907561,0.000582652,0,0,0,2.05835,22,0,0,3887,32316
C,INT_OUTLINE+HALFTONE_M,7,7.4599e-05,0.00455459,0.00171934,0.0976137,0.00482476,0.0086522,0.00240602,0,0,0,1.86738,22,0,0,3887,32316
C,COPY_SAFE_ECO,7,8.3278e-05,0.00418016,0.00116075,0.105724,0.0170531,0.00897982,0.00044792,0,0,0,2.06043,22,0,0,3887,32312
C,COMBINED_REMOVE+TINT_75,7,0.00016164,0.00426082,0.000646338,0.103081,0.00752994,0.00879078,0.000453454,0,0,0,1.8669,22,0,0,3887,32316
C,COMBINED_ECO+STRUCT_75,7,8.1444e-05,0.00428836,0.00119369,0.104886,0.00829571,0.0110821,0.00264545,0,0,0,2.05382,22,0,0,3887,32316
D,STANDARD,7,0.000163998,0.00422791,0.000622215,0.0809407,0.015365,0.00857062,0.00107195,0,0,0,1.87362,37,0,0,4015,34064
D,OPACITY_GROUP_90,7,0.000162181,0.00392443,0.000916864,0.0781345,0.00698669,0.00953838,0.00105149,0,0,0,2.07604,37,0,0,4029,34492
D,OPACITY_GROUP_75,7,0.000175646,0.00368048,0.000842888,0.0722426,0.00457298,0.0085765,0.00136673,0,0,0,2.27784,37,0,0,4030,34493
D,OPACITY_GROUP_60,7,0.000134137,0.00360508,0.000302152,0.0815748,0.00911914,0.00919944,0.00130243,0,0,0,1.97982,37,0,0,4029,34492
D,OPACITY_GROUP_45,7,0.000269959,0.00398147,0.000803941,0.0752454,0.00920306,0.00942216,0.00175107,0,0,0,2.18229,37,0,0,4030,34493
D,OPACITY_ELEM_60,7,0.000144004,0.00346093,0.000404522,0.0739368,0.00926708,0.00894883,0.00109219,0,0,0,2.39105,37,0,0,4449,46335
D,OPACITY_FILL_60,7,0.000133686,0.00359138,0.000486694,0.0760034,0.00998417,0.00880702,0.000893234,0,0,0,2.10884,37,0,0,4091,34138
D,OPACITY_STROKE_60,7,0.000126004,0.00348545,0.000915552,0.0737388,0.00419666,0.00834723,0.000541813,0,0,0,2.31849,37,0,0,4477,34068
D,OPACITY_TEXT_60,7,0.000130809,0.00468717,0.00197479,0.0802345,0.021784,0.0100501,0.00293564,0,0,0,2.0327,37,0,0,4127,37780
D,TINT_75,7,0.000125103,0.0037603,0.000971445,0.0757352,0.00936471,0.00850064,0.000324895,0,0,0,2.24124,37,0,0,4015,34070
D,TINT_55,7,0.000126905,0.00424783,0.00126749,0.0778978,0.00690632,0.00978916,0.00148723,0,0,0,2.44267,37,0,0,4015,34070
D,TINT_30,7,0.000128034,0.00340049,0.000718072,0.0752394,0.00301498,0.00882024,0.00126474,0,0,0,2.13707,37,0,0,4015,34067
D,TINT_FILL_55,7,0.000158834,0.00365734,0.00102769,0.078915,0.0112137,0.00900491,0.00240781,0,0,0,2.33925,37,0,0,4015,34065
D,TINT_FILL_30,7,0.000149966,0.00403914,0.000524889,0.07454,0.00746514,0.00886506,0.000788852,0,0,0,2.5407,37,0,0,4015,34063
D,TINT_FILL_15,7,0.000117374,0.00356266,0.000249159,0.0751878,0.00495163,0.00875436,0.000223913,0,0,0,2.23806,37,0,0,4015,34059
D,GRAYSCALE,7,0.00012175,0.00385893,0.00079215,0.0691132,0.0103795,0.00852636,0.000520141,0,0,0,2.44024,37,0,0,4015,34046
D,BW_THRESHOLD,7,0.000147697,0.00354688,0.000685702,0.0741725,0.00592911,0.00886758,0.00075463,0.165872,0,0,2.63625,37,0,0,4015,34064
D,BW_SEMANTIC,7,0.000142138,0.00369096,0.000884398,0.0774562,0.00946514,0.00856011,0.000914507,0,0,0,2.32101,37,0,0,4051,34017
D,OUTLINE_ONLY,7,0.000147509,0.00377767,0.000693437,0.0772957,0.00494513,0.00871988,0.000209603,0,0,0,2.52368,37,0,0,4039,34060
