mode,dpi,weight,size_pt,colour_after,nominal_wcag_cr,g0_recognition,g0_stroke_retention,g0_core_tone_median,pc1_recognition,pc1_stroke_retention,pc1_core_tone_median,pc2_recognition,pc2_stroke_retention,pc2_core_tone_median,pc3_recognition,pc3_stroke_retention,pc3_core_tone_median
OPACITY_GROUP_45,150,bold,6,#1a1a1a,2.8847,1,0.9087,0.376563,1,0.39957,0.233639,1,0.0161117,0.116648,0.0833333,0,0.0132699
OPACITY_GROUP_45,150,bold,7,#1a1a1a,2.8847,1,0.953416,0.388897,1,0.540373,0.256976,1,0.0450311,0.1451,0.444444,0.000776398,0.0314778
OPACITY_GROUP_45,150,bold,8,#1a1a1a,2.8847,1,0.959534,0.40323,1,0.63458,0.277604,1,0.101778,0.168427,0.861111,0.00490497,0.0583372
OPACITY_GROUP_45,150,bold,9,#1a1a1a,2.8847,1,0.971638,0.408535,1,0.690954,0.292077,1,0.211247,0.1897,0.861111,0.0132029,0.0771572
OPACITY_GROUP_45,150,bold,10,#1a1a1a,2.8847,1,0.968352,0.408535,1,0.742704,0.306699,1,0.305795,0.208967,0.972222,0.026716,0.102804
OPACITY_GROUP_45,150,bold,12,#1a1a1a,2.8847,1,0.978199,0.408535,1,0.782767,0.322408,1,0.44355,0.236323,1,0.102777,0.142699
OPACITY_GROUP_45,150,bold,14,#1a1a1a,2.8847,1,0.975389,0.408535,1,0.833235,0.336519,1,0.548927,0.262936,1,0.226619,0.173466
OPACITY_GROUP_45,300,light,6,#1a1a1a,2.8847,1,0.901179,0.34965,0.944444,0,0.0919368,0,0,0.000648856,0,0,0.000326514
OPACITY_GROUP_45,300,light,7,#1a1a1a,2.8847,1,0.93466,0.376563,1,0.00389442,0.116178,0,0,0.0024665,0,0,0.000481784
OPACITY_GROUP_45,300,light,8,#1a1a1a,2.8847,1,0.964286,0.392618,1,0.0127785,0.139327,0.0555556,0,0.00719827,0,0,0.00139073
OPACITY_GROUP_45,300,light,9,#1a1a1a,2.8847,1,0.953476,0.40323,1,0.0343758,0.159514,0.305556,0,0.0182464,0,0,0.000621438
OPACITY_GROUP_45,300,light,10,#1a1a1a,2.8847,1,0.96375,0.408535,1,0.0758333,0.183692,0.722222,0.000208333,0.0394831,0,0,0.00139433
OPACITY_GROUP_45,300,light,12,#1a1a1a,2.8847,1,0.963107,0.408535,1,0.240454,0.212896,1,0.00186621,0.0748308,0,0,0.00178054
OPACITY_GROUP_45,300,light,14,#1a1a1a,2.8847,1,0.971825,0.408535,1,0.445059,0.240929,1,0.00563498,0.109723,0.222222,0,0.0060885
