colour,kind,area_nominal,pitch_mm,lpi,marked_area,total_tonal_coverage,weighted_darkness,perceived_L,perceived_a,perceived_b,pattern_visibility_rms,rescreen_visibility_rms,rescreen_lowfreq_rms,rescreen_coverage,pc1_mean_tone,pc2_mean_tone,pc2_visibility_rms,svg_bytes,pdf_bytes,pdf_images,pdf_xobjects,pdf_pattern_objects,pdf_content_bytes,png300_bytes,mupdf_ttc,pdfium_ttc,resvg_ttc,t_pdf,de2000_vs_equal_tint,ttc_ratio_vs_equal_tint
yellow,halftone,0.55,2,12.7,0.537257,0.516255,0.0919726,92.6329,-4.95838,45.7249,0.0627872,0.0450256,0.00668709,0.0647031,0.0422045,0.0119382,0.00140619,456,53608,0,0,1,165,154898,0.525569,0.525376,0.523025,0.0256243,0.217107,1.00101
yellow,dither_fs,0.55,4.064,nan,0.5499,0.519291,0.0925704,92.4986,-4.7238,46.028,0.00113265,0.0126197,0.00723106,0.071254,0.0119734,0.0119382,0.00140619,1287,60310,0,0,1,165,437340,0.459273,0.457654,0.519897,0.0321425,0.163626,1.0069
mid_grey,flat_full,1,,nan,0,0.498039,0.498039,53.4418,-9.97727e-06,3.99091e-06,5.96046e-08,0.00547809,0.00356589,0.494198,0.497559,0.49692,0.00342366,231,884,0,0,0,162,3141,0.498039,0.498039,0.498039,0.00680859,,
mid_grey,flat_tint,0.15,,nan,0,0.0745098,0.0745098,93.9554,-1.57982e-05,6.31927e-06,5.96046e-07,0.0153735,0.0144303,0.0511709,0.011961,0.0119382,0.00140619,231,886,0,0,0,168,3081,0.0745098,0.0745098,0.0745098,0.00904362,,
mid_grey,halftone,0.15,0.35,72.5714,0,0.0737455,0.0737455,93.4848,-1.57306e-05,6.29223e-06,0.0029153,0.0260728,0.00141107,0.0632471,0.0133391,0.0119382,0.00140619,454,2887,0,0,1,165,239860,0.0627451,0.0666667,0.0786868,0.0163593,0.284795,0.989742
mid_grey,halftone,0.15,0.5,50.8,0,0.0740743,0.0740743,93.4413,-1.57243e-05,6.28973e-06,0.0190453,0.0274094,0.00960625,0.0653011,0.0263936,0.0119382,0.00140621,454,4290,0,0,1,165,228664,0.0596621,0.0625636,0.0707024,0.00886362,0.311194,0.994155
mid_grey,halftone,0.15,1,25.4,0,0.0731158,0.0731158,93.5128,-1.57346e-05,6.29384e-06,0.0825473,0.0806971,0.00436537,0.0685605,0.0545775,0.0292309,0.0219902,456,38402,0,0,1,165,146343,0.074494,0.0768109,0.0716606,0.019512,0.267827,0.981291
mid_grey,halftone,0.15,2,12.7,0,0.073067,0.073067,93.5112,-1.57344e-05,6.29375e-06,0.132187,0.13064,0.00169847,0.0706283,0.0694691,0.0553365,0.087892,456,37197,0,0,1,165,90552,0.0685278,0.0693952,0.0755453,0.013997,0.268779,0.980635
mid_grey,dither_fs,0.15,4.064,nan,0,0.0716606,0.0716606,93.6604,-1.57558e-05,6.30232e-06,0.00747862,0.0310659,0.00696038,0.0582547,0.0119614,0.0119382,0.00140619,1419,38075,0,0,1,165,191652,0.0797551,0.0801373,0.0717121,0.0194954,0.178348,0.961761
mid_grey,flat_tint,0.3,,nan,0,0.14902,0.14902,86.591,-1.47401e-05,5.89604e-06,4.17233e-07,0.0182454,0.0163486,0.104469,0.0615098,0.0119382,0.00140619,231,884,0,0,0,162,3087,0.14902,0.14902,0.14902,0.00523555,,
mid_grey,halftone,0.3,0.35,72.5714,0,0.149815,0.149815,86.6279,-1.47454e-05,5.89816e-06,0.00462154,0.0374692,0.00290512,0.134627,0.0649861,0.0119382,0.00140625,454,2887,0,0,1,165,395756,0.105882,0.109804,0.157281,0.00979883,0.0238771,1.00534
mid_grey,halftone,0.3,0.5,50.8,0,0.154856,0.154856,86.1602,-1.46782e-05,5.87128e-06,0.0295548,0.033448,0.0064251,0.140561,0.0843356,0.0210778,0.0033029,454,6096,0,0,1,165,338088,0.113984,0.116901,0.140938,0.0139973,0.279447,1.03917
mid_grey,halftone,0.3,1,25.4,0,0.147919,0.147919,86.7703,-1.47659e-05,5.90634e-06,0.11973,0.119065,0.00433401,0.14121,0.116265,0.0772213,0.063327,456,36717,0,0,1,165,205532,0.154758,0.156309,0.143849,0.0180822,0.115973,0.992616
mid_grey,halftone,0.3,2,12.7,0,0.147885,0.147885,86.7625,-1.47647e-05,5.90589e-06,0.178484,0.177778,0.00237447,0.143727,0.136966,0.11658,0.144633,456,42448,0,0,1,165,121760,0.139851,0.140393,0.150558,0.0143351,0.110907,0.992384
mid_grey,dither_fs,0.3,4.064,nan,0,0.148192,0.148192,86.782,-1.47675e-05,5.90701e-06,0.00440199,0.0292955,0.0160221,0.122475,0.060657,0.0119382,0.00140621,1479,43367,0,0,1,165,324067,0.172316,0.173069,0.148313,0.017777,0.123499,0.994448
mid_grey,flat_tint,0.55,,nan,0,0.27451,0.27451,74.6923,-1.30305e-05,5.2122e-06,5.36442e-07,0.0332631,0.0311378,0.203093,0.218147,0.147655,0.00342366,231,886,0,0,0,168,3142,0.27451,0.27451,0.27451,0.00519368,,
mid_grey,halftone,0.55,0.35,72.5714,0,0.280994,0.280994,74.5148,-1.3005e-05,5.202e-06,0.00490603,0.039402,0.00510656,0.259067,0.226252,0.157787,0.00380292,454,2886,0,0,1,165,436176,0.239216,0.243137,0.284216,0.00611629,0.130266,1.02362
mid_grey,halftone,0.55,0.5,50.8,0,0.266981,0.266981,75.818,-1.31922e-05,5.27689e-06,0.0317362,0.0469259,0.0173088,0.248608,0.209055,0.136519,0.0111642,454,6002,0,0,1,165,392591,0.245613,0.246443,0.262301,0.0149044,0.819811,0.972572
mid_grey,halftone,0.55,1,25.4,0,0.264482,0.264482,76.0302,-1.32227e-05,5.28909e-06,0.125353,0.127582,0.00396553,0.253953,0.223162,0.172175,0.0978083,456,31758,0,0,1,165,264033,0.288279,0.288313,0.263408,0.0122592,0.973271,0.96347
mid_grey,halftone,0.55,2,12.7,0,0.272276,0.272276,75.2887,-1.31162e-05,5.24648e-06,0.185849,0.187466,0.00347804,0.266317,0.251798,0.224031,0.175481,456,38613,0,0,1,165,157320,0.277584,0.278146,0.275844,0.0254765,0.435649,0.991863
mid_grey,dither_fs,0.55,4.064,nan,0,0.273947,0.273947,75.1772,-1.31002e-05,5.24007e-06,0.00333599,0.0302833,0.0215267,0.229761,0.217443,0.146775,0.00468832,1279,42600,0,0,1,165,292765,0.241815,0.241595,0.274115,0.0152841,0.354419,0.997949
