mode,archetype,rel_ttc_mean,rel_ttc_median,rel_ttc_min,rel_ttc_max,abs_ttc_mean,ttc_std_mean,q_gen0_mean,q_gen0_min,photocopy_retention_mean,n,n_failed,n_promising
GRAYSCALE,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
GRAYSCALE,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
GRAYSCALE,D,0.25489,0.24778,0.20479,0.31091,0.005156,0.020856,0.99999,0.99999,1,9,0,0
GRAYSCALE,E,0.44668,0.44853,0.4251,0.46491,0.043154,0.096146,0.99999,0.99999,1,9,0,0
GRAYSCALE,F,0.63323,0.63128,0.60511,0.66215,0.51001,0.80253,0.99978,0.99912,1,9,0,0
GRAYSCALE,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
GRAYSCALE,H,0,0,0,0,0,0.027569,1,1,1,9,0,0
GRAYSCALE,I,0.59194,0.58511,0.57858,0.61547,0.16349,0.27454,0.73333,0.7,1,9,6,0
GRAYSCALE,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
GRAYSCALE,K,0.74213,0.7435,0.71577,0.76564,0.3092,0.41731,1,1,1,9,0,0
GRAYSCALE,L,0.60724,0.60441,0.5514,0.64044,0.16768,0.26687,0.94187,0.73333,1,9,2,0
HALFTONE_H,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
HALFTONE_H,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
HALFTONE_H,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
HALFTONE_H,D,0.16867,0.16388,0.13714,0.20939,0.0034074,0.020856,0.93139,0.88472,0.99998,9,0,0
HALFTONE_H,E,0.12477,0.12915,0.10444,0.14536,0.011808,0.096146,0.95981,0.95424,1,9,0,0
HALFTONE_H,F,0.44769,0.45191,0.42399,0.4651,0.35554,0.80253,0.93945,0.83718,0.99856,9,0,0
HALFTONE_H,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
HALFTONE_H,H,0.067809,0.064864,0.034348,0.10503,0.0017484,0.027569,1,1,1,9,0,0
HALFTONE_H,I,0.43942,0.44011,0.43163,0.4454,0.12062,0.27454,1,1,1,9,0,0
HALFTONE_H,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
HALFTONE_H,K,0.30644,0.30784,0.27103,0.3412,0.12688,0.41731,0.99876,0.99785,0.99994,9,0,0
HALFTONE_H,L,0.41213,0.40501,0.38918,0.44177,0.11504,0.26687,0.88619,0.81236,1,9,0,0
HALFTONE_L,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
HALFTONE_L,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
HALFTONE_L,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
HALFTONE_L,D,0.32259,0.31116,0.26136,0.40325,0.0065049,0.020856,0.88496,0.75982,0.99998,9,2,0
HALFTONE_L,E,0.23979,0.24836,0.20314,0.2768,0.022729,0.096146,0.87921,0.85864,1,9,0,0
HALFTONE_L,F,0.85517,0.85555,0.84569,0.86259,0.68505,0.80253,0,0,0.99995,9,9,0
HALFTONE_L,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
HALFTONE_L,H,0.13064,0.12464,0.066357,0.20242,0.0033683,0.027569,1,1,1,9,0,0
HALFTONE_L,I,0.81547,0.81909,0.7981,0.82669,0.22402,0.27454,0.86667,0.8,1,9,0,0
HALFTONE_L,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
HALFTONE_L,K,0.59612,0.59879,0.53035,0.66041,0.24693,0.41731,0.99989,0.99974,0.99969,9,0,0
HALFTONE_L,L,0.79109,0.77811,0.74827,0.84264,0.2203,0.26687,0.68348,0.6048,1,9,9,0
HALFTONE_M,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
HALFTONE_M,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
HALFTONE_M,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
HALFTONE_M,D,0.27149,0.26255,0.22024,0.33859,0.0054781,0.020856,0.87525,0.7322,0.99998,9,2,0
HALFTONE_M,E,0.20133,0.2091,0.16989,0.23312,0.019072,0.096146,0.90668,0.89217,1,9,0,0
HALFTONE_M,F,0.72143,0.72442,0.70326,0.73516,0.57618,0.80253,0.4678,0,0.99984,9,9,0
HALFTONE_M,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
HALFTONE_M,H,0.10975,0.1046,0.055811,0.17007,0.0028296,0.027569,1,1,1,9,0,0
HALFTONE_M,I,0.69404,0.69647,0.68009,0.70356,0.19062,0.27454,0.97778,0.93333,1,9,0,0
HALFTONE_M,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
HALFTONE_M,K,0.49911,0.50141,0.44337,0.55364,0.20672,0.41731,0.99989,0.99974,0.99982,9,0,0
HALFTONE_M,L,0.66525,0.65365,0.62873,0.71077,0.18553,0.26687,0.7176,0.5823,1,9,8,0
HIGH_CONTRAST,A,-0.49711,-0.38129,-0.909,-0.22216,-0.0076647,0.015477,1,1,1,9,0,0
HIGH_CONTRAST,B,-0.18984,-0.11262,-0.3509,-0.1121,-0.01045,0.055382,1,1,1,9,0,0
HIGH_CONTRAST,C,-0.11137,-0.11145,-0.11207,-0.11062,-0.0035039,0.031454,1,1,1,9,0,0
HIGH_CONTRAST,D,-0.15012,-0.073369,-0.38346,-0.055555,-0.0027361,0.020856,0.93142,0.89269,1,9,0,0
HIGH_CONTRAST,E,-0.03427,-0.019317,-0.067911,-0.016383,-0.003355,0.096146,0.9927,0.99021,1,9,0,0
HIGH_CONTRAST,F,0.23192,0.23275,-0.00045113,0.49282,0.23702,0.80253,1,1,1,9,0,0
HIGH_CONTRAST,G,-0.1189,-0.11303,-0.1312,-0.11263,-0.0013583,0.011458,0.99986,0.99928,0.99983,9,0,0
HIGH_CONTRAST,H,-0.21173,-0.098385,-0.52398,-0.086148,-0.0055356,0.027569,1,1,1,9,0,0
HIGH_CONTRAST,I,-0.025263,-0.024909,-0.027819,-0.023337,-0.0068856,0.27454,1,1,1,9,0,0
HIGH_CONTRAST,J,-0.28217,-0.21233,-0.5512,-0.11242,-0.003686,0.013714,1,1,1,9,0,0
HIGH_CONTRAST,K,0.65629,0.66155,0.56293,0.74781,0.27143,0.41731,1,1,1,9,0,0
HIGH_CONTRAST,L,-0.03046,-0.024431,-0.066505,-0.0083952,-0.0047321,0.26687,0.95718,0.93776,1,9,0,0
INT_BG+TINT_FILL_55,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
INT_BG+TINT_FILL_55,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
INT_BG+TINT_FILL_55,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
INT_BG+TINT_FILL_55,D,0.17561,0.17251,0.14298,0.21597,0.0035584,0.020856,0.98547,0.97225,1,9,0,0
INT_BG+TINT_FILL_55,E,0.44044,0.4377,0.43336,0.44961,0.04247,0.096146,0.95184,0.93893,1,9,0,6
INT_BG+TINT_FILL_55,F,0.61159,0.60816,0.48906,0.74629,0.51657,0.80253,0.99433,0.99095,1,9,0,6
INT_BG+TINT_FILL_55,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
INT_BG+TINT_FILL_55,H,0.068783,0.06587,0.034791,0.10654,0.0017737,0.027569,1,1,1,9,0,0
INT_BG+TINT_FILL_55,I,0.46582,0.4655,0.45846,0.47249,0.12776,0.27454,1,1,1,9,0,1
