config,mode,promising,conditional,dominated,failed,needs_physical_validation
meaningful_rel=0.25,ECO_COLOUR,18,8,82,0,0
meaningful_rel=0.25,SUPER_ECO_BW,4,10,64,30,0
meaningful_rel=0.25,INT_BG+TINT_FILL_55,13,6,89,0,0
meaningful_rel=0.25,INT_REMOVE_ALL,11,5,92,0,0
meaningful_rel=0.25,INT_OUTLINE+BW,0,4,73,31,0
meaningful_rel=0.25,INT_GRAY+BG,6,0,94,8,0
meaningful_rel=0.25,INT_OUTLINE+HALFTONE_M,6,3,84,15,0
meaningful_rel=0.25,COPY_SAFE_ECO,3,15,90,0,0
meaningful_rel=0.25,COMBINED_REMOVE+TINT_75,13,15,80,0,0
meaningful_rel=0.25,COMBINED_ECO+STRUCT_75,33,20,55,0,0
meaningful_rel=0.25,OPACITY_GROUP_90,0,44,59,5,0
meaningful_rel=0.25,OPACITY_GROUP_75,22,68,6,12,0
meaningful_rel=0.25,OPACITY_GROUP_60,17,43,2,46,0
meaningful_rel=0.25,OPACITY_GROUP_45,0,0,0,108,0
meaningful_rel=0.25,OPACITY_ELEM_60,17,37,8,46,0
meaningful_rel=0.25,OPACITY_FILL_60,3,0,96,9,0
meaningful_rel=0.25,OPACITY_STROKE_60,0,17,82,9,0
meaningful_rel=0.25,OPACITY_TEXT_60,3,4,57,44,0
meaningful_rel=0.25,TINT_75,28,69,8,3,0
meaningful_rel=0.25,TINT_55,10,15,0,83,0
meaningful_rel=0.25,TINT_30,0,0,0,108,0
meaningful_rel=0.25,TINT_FILL_55,7,6,93,2,0
meaningful_rel=0.25,TINT_FILL_30,6,13,80,9,0
meaningful_rel=0.25,TINT_FILL_15,0,15,75,18,0
meaningful_rel=0.25,GRAYSCALE,0,5,58,8,37
meaningful_rel=0.25,BW_THRESHOLD,0,0,46,62,0
meaningful_rel=0.25,BW_SEMANTIC,0,4,85,17,2
meaningful_rel=0.25,OUTLINE_ONLY,0,4,89,15,0
meaningful_rel=0.25,OUTLINE_NAIVE,0,4,83,21,0
meaningful_rel=0.25,BG_REMOVAL,0,0,108,0,0
meaningful_rel=0.25,DECOR_REMOVAL,6,5,97,0,0
meaningful_rel=0.25,HALFTONE_H,0,0,108,0,0
meaningful_rel=0.25,HALFTONE_M,0,0,80,19,9
meaningful_rel=0.25,HALFTONE_L,0,0,88,20,0
meaningful_rel=0.25,DITHER_M,0,0,89,18,1
meaningful_rel=0.25,HIGH_CONTRAST,0,15,93,0,0
image_criterion=original,STANDARD,0,0,0,0,0
image_criterion=original,ECO_COLOUR,18,5,76,9,0
image_criterion=original,SUPER_ECO_BW,4,4,55,45,0
image_criterion=original,INT_BG+TINT_FILL_55,7,10,82,9,0
image_criterion=original,INT_REMOVE_ALL,11,11,86,0,0
image_criterion=original,INT_OUTLINE+BW,0,4,58,46,0
image_criterion=original,INT_GRAY+BG,6,0,94,8,0
image_criterion=original,INT_OUTLINE+HALFTONE_M,6,3,63,36,0
image_criterion=original,COPY_SAFE_ECO,3,15,90,0,0
image_criterion=original,COMBINED_REMOVE+TINT_75,11,9,79,9,0
image_criterion=original,COMBINED_ECO+STRUCT_75,28,16,55,9,0
image_criterion=original,OPACITY_GROUP_90,0,53,50,5,0
image_criterion=original,OPACITY_GROUP_75,24,57,6,21,0
image_criterion=original,OPACITY_GROUP_60,17,34,2,55,0
image_criterion=original,OPACITY_GROUP_45,0,0,0,108,0
image_criterion=original,OPACITY_ELEM_60,17,28,8,55,0
image_criterion=original,OPACITY_FILL_60,1,10,79,18,0
image_criterion=original,OPACITY_STROKE_60,0,21,78,9,0
image_criterion=original,OPACITY_TEXT_60,3,8,53,44,0
image_criterion=original,TINT_75,35,53,8,12,0
image_criterion=original,TINT_55,10,15,0,83,0
image_criterion=original,TINT_30,0,0,0,108,0
image_criterion=original,TINT_FILL_55,1,10,86,11,0
image_criterion=original,TINT_FILL_30,6,3,64,35,0
image_criterion=original,TINT_FILL_15,0,9,63,36,0
image_criterion=original,GRAYSCALE,0,9,54,8,37
image_criterion=original,BW_THRESHOLD,0,0,43,65,0
image_criterion=original,BW_SEMANTIC,0,4,65,37,2
image_criterion=original,OUTLINE_ONLY,0,1,71,36,0
image_criterion=original,OUTLINE_NAIVE,0,1,65,42,0
image_criterion=original,BG_REMOVAL,0,0,108,0,0
image_criterion=original,DECOR_REMOVAL,6,11,91,0,0
image_criterion=original,HALFTONE_H,0,0,81,27,0
image_criterion=original,HALFTONE_M,0,0,63,36,9
image_criterion=original,HALFTONE_L,0,0,72,36,0
image_criterion=original,DITHER_M,0,0,72,35,1
image_criterion=original,HIGH_CONTRAST,0,15,93,0,0
colour_criterion+deuteranopia,STANDARD,0,0,0,0,0
colour_criterion+deuteranopia,ECO_COLOUR,17,8,74,9,0
colour_criterion+deuteranopia,SUPER_ECO_BW,4,10,64,30,0
colour_criterion+deuteranopia,INT_BG+TINT_FILL_55,12,6,81,9,0
