doc_id,archetype,archetype_key,density,size,paper,seed,holdout,mode,family,non_white_coverage,weighted_darkness,black_proxy,colour_proxy,total_tonal_coverage,cmy_composite_proxy,c_proxy,m_proxy,y_proxy,total_tonal_coverage_abs_reduction,total_tonal_coverage_rel_reduction,weighted_darkness_rel_reduction,non_white_coverage_rel_reduction,black_proxy_rel_reduction,colour_proxy_rel_reduction,attr_functional_total_tonal_coverage,attr_decorative_total_tonal_coverage,attr_fill_total_tonal_coverage,attr_line_total_tonal_coverage,attr_text_total_tonal_coverage,attr_image_total_tonal_coverage,visual_quality_score,critical_line_survival,small_text_survival,colour_information_survival,image_survival,image_pixel_visibility,image_colour_de_mean,fill_survival,q_gen0,colour_min_de2000,colour_min_de2000_deutan,colour_cvd_retention,photocopy_simulation_score,photocopy_min_class_gen2,photocopy_retention,photocopy_retention_gen1,photocopy_retention_gen2,rescan_score_gen2,text_cr_min,line_cr_min,text_cr_min_b,text_pass_b,text_pass_aaa_b,line_cr_min_b,line_pass_b,attr_colour_coded_total_tonal_coverage,attr_border_total_tonal_coverage,pdf_bytes,png_bytes,svg_bytes,t_load,t_pdf,dom_nodes,complexity,effective_complexity,applied_by,saving_class,overall_status,overall_status_stage1_pool,status_reason,dominated_by,physical_validation_required
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,TINT_FILL_30,lighter,0.0662697,0.0239497,0.0239497,0,0.0239497,0.071849,0,0,0,0.0026754,0.100484,0.100484,0,0.100484,,0.0227571,0.00109448,0.00109448,0.0166015,0.00615552,0,,1,1,,,,,,1,,,,0.999846,0.999539,1,1,1,,17.4043,17.4043,16.105,1,1,16.105,1,0,0,40878,63320,9406,0.0157388,0.0123661,87,2,2,author,small,DOMINATED,DOMINATED,"dominated by ECO_COLOUR,OPACITY_GROUP_75,OUTLINE_ONLY,DECOR_REMOVAL",ECO_COLOUR|OPACITY_GROUP_75|OUTLINE_ONLY|DECOR_REMOVAL,False
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,GRAYSCALE,grayscale,0.0662697,0.0266251,0.0266251,0,0.0266251,0.0798752,0,0,0,0,0,0,0,0,,0.0225197,0.00376988,0.00376988,0.0164226,0.00609709,0,,1,1,,,,,,1,,,,0.999846,0.999539,1,1,1,,17.4043,17.4043,13.184,1,1,13.184,1,0,0,40877,63346,9406,0.0102184,0.0186932,87,1,1,user+author,negligible,DOMINATED,DOMINATED,dominated by STANDARD (no effect on this page),STANDARD (no effect on this page),False
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,BW_SEMANTIC,bw,0.0364329,0.0254397,0.0254397,0,0.0254397,0.0763191,0,0,0,0.00118537,0.0445206,0.0445206,0.450234,0.0445206,,0.0235926,2.95269e-05,2.95269e-05,0.016722,0.0068706,0,,0.944107,1,,,,,,0.944107,,,,0.999564,0.998692,0.944107,0.944107,0.998692,,21,21,21,1,1,21,1,0,0,40879,62901,9442,0.0150439,0.0109176,87,2,2,author,negligible,DOMINATED,DOMINATED,"dominated by ECO_COLOUR,SUPER_ECO_BW,OPACITY_GROUP_75,TINT_FILL_30…",ECO_COLOUR|SUPER_ECO_BW|OPACITY_GROUP_75|TINT_FILL_30|OUTLINE_ONLY|DECOR_REMOVAL,False
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,OUTLINE_ONLY,outline,0.0364329,0.0228849,0.0228849,0,0.0228849,0.0686547,0,0,0,0.00374017,0.140476,0.140476,0.450234,0.140476,,0.0215042,2.97069e-05,2.97069e-05,0.0153248,0.00617942,0,,1,1,,,,,,1,,,,0.999846,0.999539,1,1,1,,17.4043,17.4043,17.404,1,1,17.404,1,0,0,40995,63291,9439,0.0262088,0.0117723,87,2,2,author,small,DOMINATED,DOMINATED,dominated by OPACITY_GROUP_75,OPACITY_GROUP_75,False
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,BG_REMOVAL,removal,0.0662697,0.0266251,0.0266251,0,0.0266251,0.0798752,0,0,0,0,0,0,0,0,,0.0225197,0.00376988,0.00376988,0.0164226,0.00609709,0,,1,1,,,,,,1,,,,0.999846,0.999539,1,1,1,,17.4043,17.4043,13.184,1,1,13.184,1,0,0,40877,63346,9406,0.00805978,0.0167175,87,2,2,user*+author,negligible,DOMINATED,DOMINATED,dominated by STANDARD (no effect on this page),STANDARD (no effect on this page),False
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,DECOR_REMOVAL,removal,0.0364319,0.0228552,0.0228552,0,0.0228552,0.0685656,0,0,0,0.00376987,0.141591,0.141591,0.450248,0.141591,,0.0228552,0,0,0.0166758,0.00617942,0,,1,1,,,,,,1,,,,0.999846,0.999539,1,1,1,,17.4043,17.4043,17.404,1,1,17.404,1,0,0,40853,63257,9311,0.0201197,0.0209218,85,2,2,author,small,DOMINATED,DOMINATED,dominated by OPACITY_GROUP_75,OPACITY_GROUP_75,False
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,HALFTONE_M,halftone,0.0502303,0.0239213,0.0239213,0,0.0239213,0.071764,0,0,0,0.00270374,0.101549,0.101549,0.242032,0.101549,,0.0227795,0.00106613,0.00106613,0.0166228,0.0061567,0,,1,1,,,,,,1,,,,0.999846,0.999539,1,1,1,,17.4043,17.4043,16.105,1,1,16.105,1,0,0,547769,107726,9631,0.0151344,0.104673,90,3,4,author,small,DOMINATED,DOMINATED,"dominated by ECO_COLOUR,OPACITY_GROUP_75,TINT_FILL_30,OUTLINE_ONLY…",ECO_COLOUR|OPACITY_GROUP_75|TINT_FILL_30|OUTLINE_ONLY|DECOR_REMOVAL,True
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,HIGH_CONTRAST,contrast,0.0662697,0.02918,0.02918,0,0.02918,0.0875401,0,0,0,-0.00255499,-0.0959617,-0.0959617,0,-0.0959617,,0.0250747,0.00376988,0.00376988,0.0182864,0.00678828,0,,1,1,,,,,,1,,,,1,1,1,1,1,,21,21,15.908,1,1,15.908,1,0,0,40876,62939,9406,0.0185326,0.012867,87,2,2,author,negligible,DOMINATED,DOMINATED,dominated by STANDARD (no effect on this page),STANDARD (no effect on this page),False
H-M-M-A4-s3,H,TABLE_GRID,MEDIUM,M,A4,3,False,OPACITY_GROUP_75,opacity,0.0649856,0.0193551,0.0193551,0,0.0193551,0.0580652,0,0,0,0.00645169,0.25,0.25,0.000424325,0.25,,0.016276,0.00283942,0.00283942,0.0123169,0.00395908,0,,1,1,,,,,,1,,,,0.995043,0.98953,0.989861,0.999889,0.989861,,7.69228,7.69228,6.278,1,0.87755,6.278,1,0,0,40514,56152,8081,0.0148009,0.0181824,75,1,1,author,small,CONDITIONAL,CONDITIONAL,small saving,,False
H-M-M-A4-s3,H,TABLE_GRID,MEDIUM,M,A4,3,False,OPACITY_GROUP_60,opacity,0.0642564,0.015484,0.015484,0,0.015484,0.0464521,0,0,0,0.0103227,0.4,0.4,0.0116407,0.4,,0.0130208,0.00227154,0.00227154,0.00985355,0.00316726,0,,1,0.87755,,,,,,0.87755,,,,0.910261,0.894743,0.895042,0.996881,0.895042,,4.54222,4.54222,3.8449,0.87755,0.020408,3.8449,1,0,0,40513,55455,8081,0.0159205,0.015623,75,1,1,author,meaningful,CONDITIONAL,CONDITIONAL,function 0.88; copy retention 0.90,,False
