mode,dpi,colour,style,width_mm,colour_after,width_after_mm,nominal_tone,g0_continuity,g0_peak_tone_median,raster_fidelity,rendered_wcag_cr,nominal_wcag_cr,tone_per_mm,pc1_continuity,pc1_peak_tone_median,pc2_continuity,pc2_peak_tone_median,pc3_continuity,pc3_peak_tone_median
TINT_55,600,black,solid,0.05,#818181,0.05,0.494118,1,0.494118,1,3.89573,3.89573,0.0209177,0,0.0757515,0,0.0757961,0,0.0754208
TINT_55,600,black,solid,0.1,#818181,0.1,0.494118,1,0.494118,1,3.89573,3.89573,0.0472096,0.0623765,0.113769,0,0.0753324,0,0.0755951
TINT_55,600,black,solid,0.18,#818181,0.18,0.494118,1,0.494118,1,3.89573,3.89573,0.0889622,1,0.2764,0.0550381,0.11298,0,0.0752444
TINT_55,600,black,solid,0.25,#818181,0.25,0.494118,1,0.494118,1,3.89573,3.89573,0.125506,1,0.379318,0.999718,0.22616,0.00366921,0.0896639
TINT_55,600,black,solid,0.35,#818181,0.35,0.494118,1,0.494118,1,3.89573,3.89573,0.172633,1,0.457087,1,0.338776,0.999436,0.213235
TINT_55,600,black,solid,0.5,#818181,0.5,0.494118,1,0.494118,1,3.89573,3.89573,0.245886,1,0.508445,1,0.448857,1,0.362944
TINT_55,600,black,solid,0.75,#818181,0.75,0.494118,1,0.494118,1,3.89573,3.89573,0.371391,1,0.533753,1,0.515258,1,0.486045
TINT_55,600,black,dashed,0.05,#818181,0.05,0.494118,1,0.372041,0.752941,2.61498,3.89573,0.0210413,0,0.07521,0,0.0758516,0,0.0757561
TINT_55,600,black,dashed,0.1,#818181,0.1,0.494118,1,0.494118,1,3.89573,3.89573,0.0524185,0.268078,0.136626,0,0.0753165,0,0.0751021
TINT_55,600,black,dashed,0.18,#818181,0.18,0.494118,1,0.494118,1,3.89573,3.89573,0.0889622,1,0.274604,0.0505585,0.11165,0,0.0753717
TINT_55,600,black,dashed,0.25,#818181,0.25,0.494118,1,0.494118,1,3.89573,3.89573,0.12038,1,0.363111,0.997648,0.208639,0,0.0803205
TINT_55,600,black,dashed,0.35,#818181,0.35,0.494118,1,0.494118,1,3.89573,3.89573,0.172673,1,0.455471,1,0.337593,0.997648,0.210145
TINT_55,600,black,dashed,0.5,#818181,0.5,0.494118,1,0.494118,1,3.89573,3.89573,0.245886,1,0.508656,1,0.44763,1,0.360839
TINT_55,600,black,dashed,0.75,#818181,0.75,0.494118,1,0.494118,1,3.89573,3.89573,0.37135,1,0.533897,1,0.515868,1,0.484127
TINT_55,600,guide_grey,solid,0.05,#cacaca,0.05,0.207843,1,0.155679,0.74902,1.43926,1.63904,0.0110903,0,0.0756728,0,0.0757957,0,0.0760577
TINT_55,600,guide_grey,solid,0.1,#cacaca,0.1,0.207843,1,0.207843,1,1.63904,1.63904,0.0220973,0,0.0758822,0,0.0759812,0,0.0754296
TINT_55,600,guide_grey,solid,0.18,#cacaca,0.18,0.207843,1,0.207843,1,1.63904,1.63904,0.0374864,0.000282247,0.078408,0.000282247,0.0761082,0,0.0757684
TINT_55,600,guide_grey,solid,0.25,#cacaca,0.25,0.207843,1,0.207843,1,1.63904,1.63904,0.05066,0.0141123,0.0965971,0,0.0754862,0,0.0751805
TINT_55,600,guide_grey,solid,0.35,#cacaca,0.35,0.207843,1,0.207843,1,1.63904,1.63904,0.0725561,0.255151,0.136086,0,0.0758766,0,0.0755726
TINT_55,600,guide_grey,solid,0.5,#cacaca,0.5,0.207843,1,0.207843,1,1.63904,1.63904,0.105584,0.778719,0.163371,0,0.0765023,0,0.0758954
TINT_55,600,guide_grey,solid,0.75,#cacaca,0.75,0.207843,1,0.207843,1,1.63904,1.63904,0.156168,0.974598,0.178293,0.000564493,0.0849211,0,0.0752258
TINT_55,600,guide_grey,dashed,0.05,#cacaca,0.05,0.207843,1,0.207843,1,1.63904,1.63904,0.0109653,0,0.0749707,0,0.0757008,0,0.0760464
TINT_55,600,guide_grey,dashed,0.1,#cacaca,0.1,0.207843,1,0.207843,1,1.63904,1.63904,0.0199235,0,0.0757407,0,0.0744497,0,0.0752531
TINT_55,600,guide_grey,dashed,0.18,#cacaca,0.18,0.207843,1,0.207843,1,1.63904,1.63904,0.0373614,0.000587889,0.0787054,0,0.0760449,0,0.0752447
TINT_55,600,guide_grey,dashed,0.25,#cacaca,0.25,0.207843,1,0.207843,1,1.63904,1.63904,0.0527921,0.0270429,0.103346,0,0.075385,0,0.0751758
TINT_55,600,guide_grey,dashed,0.35,#cacaca,0.35,0.207843,1,0.207843,1,1.63904,1.63904,0.0725561,0.27572,0.137705,0,0.0767085,0,0.0751724
TINT_55,600,guide_grey,dashed,0.5,#cacaca,0.5,0.207843,1,0.207843,1,1.63904,1.63904,0.103452,0.747208,0.161669,0,0.0772326,0,0.0754088
TINT_55,600,guide_grey,dashed,0.75,#cacaca,0.75,0.207843,1,0.207843,1,1.63904,1.63904,0.153911,0.974133,0.177952,0,0.0847242,0,0.0754015
TINT_55,600,trace_grey,solid,0.05,#dfdfdf,0.05,0.12549,0,0.12549,1,1.33264,1.33264,0.00664573,0,0.0756756,0,0.0757769,0,0.0755497
TINT_55,600,trace_grey,solid,0.1,#dfdfdf,0.1,0.12549,0,0.12549,1,1.33264,1.33264,0.0119581,0,0.0755726,0,0.0755197,0,0.0755099
TINT_55,600,trace_grey,solid,0.18,#dfdfdf,0.18,0.12549,0,0.12549,1,1.33264,1.33264,0.022583,0,0.0759262,0,0.076013,0,0.075874
